Wind Speed;Production;Actual Production;Difference;SMP;Forecasting error;0.07
7.3;2620;2708;-89;73.17;;
6.2;1731;1719;12;71.28;;
4.7;637;615;22;70;;
7;2175;1986;189;64;;
7.8;3361;3140;222;60.74;;
9.1;5678;5364;314;59.84;;
8.6;4754;4331;423;61;;
7.7;3213;3301;-88;60.9;;
7.2;2471;2290;181;64;;
5.5;1265;1468;-203;68.17;;
6.8;2064;1846;218;75.01;;
7.6;3065;3144;-79;75;;
7;2175;2238;-63;60.03;;
7.1;2323;2142;181;56;;
10;7000;6971;29;51.02;;
8.3;4206;4342;-136;45.51;;
6.2;1731;1470;261;42.71;;
4.3;273;275;-2;39.64;;
6.1;1676;1768;-92;35.41;;
6.1;1676;1679;-3;35.31;;
8;3658;3624;33;36.43;;
11.1;7000;7488;-488;39.99;;
10.8;7000;6759;241;57.35;;
11.1;7000;7161;-161;65.54;;
11.6;7000;7484;-484;73;;
11.4;7000;8081;-1081;68;;
8.8;5119;5205;-86;63.51;;
4;0;0;0;60.52;;
4.3;273;251;22;60.52;;
7.7;3213;3167;46;53.28;;
6.2;1731;1683;48;51.21;;
2.6;0;0;0;54.04;;
1.2;0;0;0;59.9;;
1.3;0;0;0;60.52;;
3.3;0;0;0;61;;
2.1;0;0;0;56.65;;
4.5;455;428;27;53.6;;
5;911;947;-36;47.68;;
4.2;182;185;-3;42.56;;
2.9;0;0;0;32.84;;
4.4;364;350;15;42.02;;
9.3;6050;6709;-659;39;;
11.1;7000;5858;1142;28.71;;
8.3;4206;4013;193;28.61;;
6.3;1787;1839;-52;27.8;;
5.9;1549;1411;138;38.09;;
7.4;2768;2775;-7;46.55;;
9.7;6876;7063;-187;42.93;;
11;7000;6777;223;47.68;;
10.9;7000;7229;-229;48.23;;
9.1;5678;6309;-631;53.65;;
8.9;5302;5053;249;48.6;;
8.2;4023;3971;53;47.94;;
10.1;7000;6360;640;46.55;;
11.9;7000;6935;65;47.68;;
10.9;7000;6689;311;46.55;;
9.8;7000;6925;75;50;;
9.3;6050;6633;-583;61;;
7.6;3065;3243;-179;65;;
9.2;5871;5934;-63;61.71;;
7.8;3361;3104;257;61;;
6.8;2064;2181;-117;49.4;;
6.8;2064;2052;12;47.4;;
5;911;831;80;45.85;;
3.6;0;0;0;48;;
7.1;2323;2005;318;41.01;;
7.1;2323;2147;176;32.36;;
7.9;3510;3344;166;31.5;;
7.8;3361;3360;2;24.15;;
4.7;637;676;-39;25;;
7.5;2916;2733;183;31.32;;
8.5;4571;4788;-217;38.02;;
8.1;3841;3882;-41;43.22;;
7.2;2471;2225;246;46.25;;
6.2;1731;1662;69;48.95;;
6.1;1676;1800;-125;46.91;;
6.2;1731;1919;-188;46.35;;
6.1;1676;1755;-80;42.02;;
9;5484;5540;-55;38;;
9.6;6627;7071;-444;43.11;;
8.5;4571;4314;257;46.91;;
